Company,Ticker,Website,Industry,Founding_Year,Wikidata_ID,Extracted_Text
Constellation Energy,CEG,https://www.constellation.com/,,1999.0,Q259195,"Corporate Profile
A Leader in The Clean Energy Transition
Constellation is the nation’s largest producer of carbon-free energy and the leading competitive retail supplier of power and energy products and services for homes and businesses across the United States. Headquartered in Baltimore, our generation fleet powers more than 20 million homes and businesses and is helping to accelerate the nation’s transition to clean energy with more than 32,400 megawatts of capacity and annual output that is 90% carbon-free. Constellation has set a goal to eliminate 100% of its greenhouse gas emissions by 2040 by leveraging innovative technology and enhancing its diverse mix of hydro, wind and solar resources paired with the nation’s largest carbon-free nuclear fleet. Constellation’s family of retail businesses serves approximately 2 million residential, public sector and business customers, including three-fourths of the FORTUNE 100. Click here to learn more about Constellation.
Leadership & Governance
The Constellation Executive Committee includes experienced senior leaders who set the strategy and direction for our company. They are committed to achieving our purpose and model our values for our employees, customers and communities. Click here to meet our Executive Committee.
All members of the Constellation board, except the president and CEO, are independent directors under criteria established by The Nasdaq Global Select Market and incorporated in the Constellation Corporate Governance Principles. Click here to meet our Board.
Events & Presentations
Earnings Release
- Q3 2025 Earnings Release and Tables 224.3 KB
Key Documents
- Nuclear 101 11.7 MB
- Proxy Statement 2024 6.2 MB
- 10K Annual Report 2024 33.9 MB
- Q3 2025 Form 10-Q 1 MB"
Copart,CPRT,https://www.copart.com/,automotive industry,1982.0,Q16951448,KEIN_HAUPTINHALT_GEFUNDEN
CoStar Group,CSGP,https://www.costargroup.com/,information technology,1987.0,Q16988748,KEIN_HAUPTINHALT_GEFUNDEN
Costco,COST,https://www.costco.com/,retail,1983.0,Q715583,KEIN_HAUPTINHALT_GEFUNDEN
CrowdStrike,CRWD,https://www.crowdstrike.com/,computer security,2011.0,Q24890758,"About CrowdStrike
Setting the standard for security in the cloud era
CrowdStrike secures the most critical areas of risk – endpoints and cloud workloads, identity, and data – to keep customers ahead of today’s adversaries and stop breaches.
See what our customers think
People all over the world count on our customers to keep their businesses running, their communities safe, and their lives moving forward. Our customers count on CrowdStrike.
CrowdStrike protects:
314
of the Fortune 500
564
of the Fortune 1,000
42
of the 50 U.S. states
8 out of the top 10
financial services firms
8 out of the top 10
manufacturers
9 out of the top 10
food & beverage companies
8 out of the top 10
auto companies
8 out of the top 10
healthcare providers
8 out of the top 10
technology firms"
CSX Corporation,CSX,https://www.csx.com/,rail transport,1980.0,Q1024454,KEIN_HAUPTINHALT_GEFUNDEN
Datadog,DDOG,https://www.datadoghq.com/,IT performance management,2010.0,Q16248637,"- Product
Infrastructure
Applications
Logs
Security
- Code Security
- Software Composition Analysis
- Static Code Analysis (SAST)
- Runtime Code Analysis (IAST)
- IaC Security
- Cloud Security
- Cloud Security Posture Management
- Cloud Infrastructure Entitlement Management
- Vulnerability Management
- Compliance
- Cloud SIEM
- Workload Protection
- App and API Protection
- Sensitive Data Scanner
- Security Labs Research
- Open Source Projects
Digital Experience
Software Delivery
Service Management
AI
Platform Capabilities
- Customers
- Pricing
- Solutions
- Financial Services
- Manufacturing & Logistics
- Healthcare/Life Sciences
- Retail/E-Commerce
- Government
- Education
- Media & Entertainment
- Technology
- Gaming
- Amazon Web Services Monitoring
- Azure Monitoring
- Google Cloud Monitoring
- Oracle Cloud Monitoring
- Kubernetes Monitoring
- Red Hat OpenShift
- Pivotal Platform
- OpenAI
- SAP Monitoring
- OpenTelemetry
- Application Security
- Cloud Migration
- Monitoring Consolidation
- Unified Commerce Monitoring
- SOAR
- DevOps
- FinOps
- Shift-Left Testing
- Digital Experience Monitoring
- Security Analytics
- Compliance for CIS Benchmarks
- Hybrid Cloud Monitoring
- IoT Monitoring
- Real-Time BI
- On-Premises Monitoring
- Log Analysis & Correlation
- CNAPP
Industry
Technology
Use Case
- About
- Blog
- Docs
- Login
- Get Started"
DexCom,DXCM,http://dexcom.com/,,1999.0,Q15109865,"Relentless innovation from the leaders in glucose health
Dexcom has set the standard in glucose biosensing for 25 years and counting. Our best-in-class technologies empower people to know what is happening in their bodies in real time, helping them to better understand the many factors that impact their glucose and overall health.
Smart devices sold separately.*
Dexcom G7 CGM System
Dexcom G7 is our most powerful continuous glucose monitoring (CGM) system and also the most accurate CGM available.1 Period. Offering real-time glucose feedback and numerous partner connections, Dexcom G7 is designed for adults and children (2+ years) living with diabetes who are on insulin, or at risk for hypoglycemia.
Stelo Glucose Biosensor
The power to personalize your diet and exercise choices starts with Stelo. With personal glucose insights delivered right to your smartphone*, you have all the information you need to make healthier habits become second nature.
No prescription. No fingersticks, ever. Just results.
Empowering people to take control of health
Since 1999, Dexcom has been developing innovative technology that has transformed how people manage diabetes and track their glucose. We think of ourselves as partners in their journey, empowering them to live confidently and take control of their health with our life-changing products.
*For Dexcom G7 to view a list of compatible devices, visit dexcom.com/compatibility. For Stelo app compatibility information, visit stelo.com/compatibility. †Event logging only available on the Dexcom G7 app.
1 Dexcom, data on file. 2023. 2 Dexcom G7 User Guide. 2024.
BRIEF SAFETY STATEMENT: Failure to use the Dexcom Continuous Glucose Monitoring System and its components according to the instructions for use provided with your device and available at https://www.dexcom.com/safety-information and to properly consider all indications, contraindications, warnings, precautions, and cautions in those instructions for use may result in you missing a severe hypoglycemia (low blood glucose) or hyperglycemia (high blood glucose) occurrence and/or making a treatment decision that may result in injury. If your glucose alerts and readings from the Dexcom CGM do not match symptoms, use a blood glucose meter to make diabetes treatment decisions. Seek medical advice and attention when appropriate, including for any medical emergency.
STELO IMPORTANT INFORMATION: Consult your healthcare provider before making any medication adjustments based on your sensor readings and do not take any other medical action based on your sensor readings without consulting your healthcare provider. Do not use if you have problematic hypoglycemia. Failure to use Stelo and its components according to the instructions for use provided and to properly consider all indications, contraindications, warnings, and cautions in those instructions for use may result in you missing a severe hypoglycemia (low blood glucose) or hyperglycemia (high blood glucose) occurrence. I"
Diamondback Energy,FANG,https://www.diamondbackenergy.com,petroleum industry,2007.0,Q65091423,"Diamondback is an independent oil and natural gas company headquartered in Midland, Texas focused on the acquisition, development, exploration and exploitation of unconventional, onshore oil and natural gas reserves in the Permian Basin in West Texas. Diamondback's activities are primarily focused on the horizontal exploitation of multiple intervals within the Wolfcamp, Spraberry, and Bone Spring formations."
DoorDash,DASH,https://www.doordash.com/,logistics,2012.0,Q20714323,KEIN_HAUPTINHALT_GEFUNDEN
Electronic Arts,EA,https://www.ea.com,video game industry,1982.0,Q173941,"About EA
EA is a global leader in digital interactive entertainment.
We are focused on building games and experiences that grow the global online communities around our key franchises and intellectual property, while deepening engagement through interactive storytelling.
We develop and deliver games, content and online services for Internet-connected consoles, mobile devices and personal computers. Headquartered in Redwood City, California, we are recognized for a portfolio of critically acclaimed, high-quality brands such as EA SPORTS FC™, Battlefield™, Apex Legends™, The Sims™, EA SPORTS™ Madden NFL, Need for Speed™, Titanfall™, Plants vs. Zombies™ and EA SPORTS F1®.
Our Products
Discover Our Games →
Explore Our Subscriptions →
Learn About Our Technologies →
Our People
Creating next-level entertainment experiences that inspire players and fans requires people with a shared passion and unique perspectives. That's why we nurture environments where our teams can always bring their best to what they do. At Electronic Arts, everyone is part of the story. Part of a community that connects across the globe. A place where creativity thrives, new perspectives are invited, and ideas matter. A team where everyone makes play happen.
At Electronic Arts, everyone is part of the story.
Our Practices
We create stories and deliver amazing experiences that resonate with audiences around the world and make an impact in the communities where we live, work and play. Our values and vision as a global company continue to drive us to create a welcoming workplace, foster inclusive communities, invest in the next generation of innovators and artists, and progress our environmental initiatives. You can follow our efforts through EA's annual Impact Report.
Our ongoing values
Creativity
Striving to bring imagination, original ideas, and excitement to everything we do.
Pioneering
Acting with the curiosity and courage that it takes to experiment, innovate, and lead.
Passion
We are at our best when we pursue what we love, and have fun doing it.
Determination
Bringing focus, drive, and conviction to our actions. Thriving on the journey, and being motivated to achieve excellence.
Learning
Listening, having humility, being open to new ways of thinking, and looking with a lens of inclusion. Challenging ourselves to grow and change as a company.
Teamwork
Committed to each other, and to the accountability and integrity it takes to be a successful diverse team."
Exelon,EXC,https://www.exeloncorp.com/,energy industry,2000.0,Q1383669,"Working Across The Energy Spectrum
Exelon is recognized as an industry leader with best-in-class operations, with utilities achieving top quartile or better performance in customer satisfaction, reduced outage frequency, and faster service restoration. This strong record of reliability and customer satisfaction is reinforced by substantial infrastructure investments across the fleet.
The Exelon Family of Companies
Exelon (Nasdaq: EXC) is a Fortune 200 company and one of the nation’s largest utility companies, serving more than 10.7 million customers through six fully regulated transmission and distribution utilities — Atlantic City Electric, BGE, ComEd, Delmarva Power, PECO, and Pepco. Exelon’s 20,000 employees dedicate their time and expertise to supporting our communities through reliable, affordable and efficient energy delivery, workforce development, equity, economic development and volunteerism. Follow @Exelon on X and LinkedIn."
Fastenal,FAST,https://www.fastenal.com/,,1967.0,Q3067119,KEIN_HAUPTINHALT_GEFUNDEN
Fortinet,FTNT,http://www.fortinet.com/,computer security,2000.0,Q2749364,"About Us
Founded in the San Francisco Bay Area in 2000, Fortinet continues to be a driving force in the evolution of cybersecurity and the convergence of networking and security. Securing people, devices, and data everywhere is our mission. To that end, our portfolio of over 50 enterprise-grade products is the largest integrated offering available, delivering proven cybersecurity everywhere you need it. More than 890,000 customers trust Fortinet solutions, which are among the most deployed, most patented, and most validated in the industry.
The Fortinet Security Fabric: Our AI-Driven Platform Approach
Within our unified platform, three solutions redefine cybersecurity, helping you to respond to an ever-evolving cybersecurity landscape to meet constantly accelerating business needs. The solution to simplifying complex networks, distributed users, and hybrid applications is the convergence and consolidation of security, all with flexible consumption models to make buying easy.
The Fortinet Security Fabric enables automated protection, detection, and response along with consolidated visibility across both Fortinet solutions and a broad ecosystem of over 500 third-party solutions. Fortinet holds 1,067 U.S. patents—nearly three times more than comparable network security vendors—a testament to our dedication to organic innovation that delivers industry-leading cybersecurity and networking solutions. The vast majority of Fortinet’s R&D is based in North America and the company has support and centers of excellence across the globe.
Cybersecurity Innovation and Excellence
FortiOS, Fortinet’s flagship operating system, is organically built on a common management and security framework and uniquely enables the convergence of networking and security. FortiOS also serves as the foundation of the Fortinet Security Fabric, the industry’s highest performing and most expansive cybersecurity platform.
Fortinet is the only security vendor to develop and build custom security processing units (SPUs). These purpose-built ASICs offer the best price/performance and value in the industry with Security Compute Ratings that are far higher than other vendors.
Every day, FortiGuard Labs uses one of the most effective and proven AI and ML systems in the industry to process and analyze more than 100 billion events, sending actionable real-time threat intelligence to immediately increase defenses against even zero day threats.
The unique combination of FortiOS, purpose-built SPU technology, and AI-powered threat intelligence delivers superior protection driven by our commitment to cybersecurity innovation and excellence.
More Than Just Technology Innovation
As a cybersecurity leader, we believe that it is our duty to help make the world a safer and more sustainable place. That is why, beyond our commitment to cybersecurity and networking technology innovation, we strive to:
- Reduce the environmental footprint of our technology with a commitment to ensure each generation of "
GE HealthCare,GEHC,http://www.gehealthcare.com,electronics,2004.0,Q1152374,KEIN_HAUPTINHALT_GEFUNDEN
Gilead Sciences,GILD,https://www.gilead.com/,pharmaceutical industry,1987.0,Q663596,"Delivering Transformative Therapies and Advancing Health Equity
Through innovation, we’re helping to build a healthier world for all people.
Learn More About Gilead 25+
Medicines Offered Globally
55
Clinical Programs Across Virology, Oncology and Inflammation
#1
Funder of HIV Programs in the U.S.
Using Science to Improve the Lives of People and Communities
We invest in world-class science to combat the world's most devastating diseases.
Explore ScienceA Strong Pipeline Spanning Three Therapeutic Areas
We have a deep, diverse pipeline across Virology, Oncology and Inflammation.
View Our PipelineAn Inclusive Workplace Where We All Can Make an Impact
Gilead employees work to advance scientific innovation, help ensure our medicines reach those who need it and make a difference in the communities where we live and work.
Explore Careers at GileadNews
Some of the content on this page is not intended for users outside the U.S.
Investors"
GlobalFoundries,GFS,https://gf.com/,semiconductor industry,2008.0,Q691592,"What makes our world smarter, faster, safer, and more connected? What lets you feel secure, whether you’re at home or on the move? Essential chips do. Smart Mobile Devices 5G is the force changing the future of mobility. Learn More Home and Industrial IoT Industrial IoT is built on a foundation of power conversion and motor control. Learn More Automotive Assisted driving and autonomous vehicles. Connectivity. Electrification. Learn More Communications Infrastructure & Datacenter Industry’s only Foundry with in-house mmWave test capabilities. Learn More Aerospace, Defense and Critical Infrastructure Secure, Trusted and Resilient Supply Learn More Introducing GF Connect Seamlessly collaborate with GlobalFoundries to get to production and manage your orders faster and easier than ever. Explore Unlock a world of resources at your fingertips. Access production information, process design kits (PDKs), intellectual property (IP), multi-project wafer (MPW) schedules, quick-start guides, and much more instantly. Buy Simplify your purchasing process. Place and track orders, configure products, receive quotes, and initiate final tapeout—all from your personalized dashboard. Manage Gain complete control and visibility over your projects. Access business-critical content directly and conveniently whenever you need it. Login"
Honeywell,HON,,,,Q37147733,URL_UNGÜLTIG
Idexx Laboratories,IDXX,http://www.idexx.com,health care,1983.0,Q1758392,"Investor relations
Listed on NASDAQ since 1991 and a member of the S&P 500®, IDEXX Laboratories, Inc. (IDXX) is a global leader in veterinary diagnostics, software, and water microbiology testing.
Q3 2025 Results – November 3, 2025
Corporate Responsibility Report
At IDEXX, corporate responsibility is closely aligned with our business strategy and innovation agenda.
Investor resources
Upcoming earnings dates
Q4 2025: February 2, 2026
Investor resources
Investor Relations
One IDEXX Drive
Westbrook, Maine 04092
1-207-556-8155 or 1-800-548-6733
Fax: 1-207-556-4427
Email
Latest news
IDEXX Announces Third Quarter Results
IDEXX Elects Karen Peacock to Board of Directors
IDEXX to Participate in Morgan Stanley 23rd Annual Global Healthcare Conference
IDEXX Announces Second Quarter Results
IDEXX Releases 2024 Corporate Responsibility Report, Highlighting Progress Against Its Goals
IDEXX Elects Joseph L. (Jay) Hooley to Board of Directors
IDEXX to Release 2025 Second Quarter Financial Results
IDEXX to Present at Stifel Conference and Announces 2025 Investor Day
IDEXX Announces First Quarter Results
IDEXX to Present at Two Upcoming Institutional Investor Conferences
IDEXX Announces Fourth Quarter and Full Year 2024 Results
IDEXX Announces Increase in Share Repurchase Program Authorization
IDEXX Announces CFO Transition
IDEXX Announces Third Quarter Results
IDEXX to Present at Stifel Conference and Announces 2024 Investor Day
IDEXX Laboratories to Present at Two Upcoming Institutional Investor Conferences
IDEXX Elects Irene Chang Britt to Board of Directors
Groundbreaking IDEXX Study Reveals Opportunities to Increase Veterinary Practice Productivity
Events and presentations
Third Quarter 2025 Earnings Conference Call
Monday, November 3, 2025, 8:30 am EDT
Morgan Stanley 23rd Annual Global Healthcare Conference
Tuesday, September 9, 2025, 1:50 – 2:25 pm EDT
IDEXX Investor Day 2025
Thursday, August 14, 2025, 8:00 am EDT
View presentation
Second Quarter 2025 Earnings Conference Call
Monday, August 4, 2025, 8:30 am EDT
First Quarter 2025 Earnings Conference Call
Thursday, May 1, 2025, 8:30 am EDT
Raymond James 46th Annual Institutional Investors Conference
March 3, 2025, 11:35 am – 12:05 pm
View presentation
Fourth Quarter and Full Year 2024 Earnings Conference Call
Monday, February 3, 2025, 8:30 am EST
Third Quarter 2024 Earnings Conference Call
October 31, 2024, 8:30 am EDT
IDEXX Investor & Analyst Session at VMX
Monday, January 15, 2024, 1:00 pm EST
View presentation
Event video
Introducing the IDEXX inVue Dx Cellular Analyzer"
Intel,INTC,https://www.intel.com,electrical industry,1968.0,Q248,"Innovation Starts Here
You know those world-changing ideas you have in your head? We build the technology to help you turn them into a reality. That's the power of Intel Inside®.
Our Purpose
Create world-changing technology that improves the life of every person on the planet.
Intel underpins everyday life. We design and manufacture technology that helps us all connect, create, and achieve great things—together.
Our North Star
How we make decisions, treat one another, and serve our customers is the common thread that unites and guides us.
Our Responsibility
Harnessing the power of technology to solve the increasingly complex challenges the world faces isn’t just part of the job—it is the job.
We Power Possibilities
We deliver AI experiences that power businesses with industry-defining platforms. With 50 years of unmatched innovation and global scale, you get the reliability and resilience you need to launch into a future full of creativity and ingenuity.
Amplifying Better AI
Our platforms drive AI from data center, cloud, and network to the client and edge, improving productivity, security, and responsibility at every step. The result? AI that works for everyone.
Building for the AI Era
Intel Foundry provides an unparalleled blend of industry-leading technology with a rich IP portfolio, a world-class design ecosystem, and an operationally resilient global manufacturing supply chain.
From Ideas to Breakthroughs
Discover Your Place in Our World-Changing Work
At Intel, our values guide everything we do. The opportunities to learn and grow are wide-ranging - our collective work changes the world and pushes the boundaries of technology. Here, your individual needs matter, so you can find purpose in the work you do, supportive benefits and programs, and an inclusive and welcoming environment. Our commitment is to help each other learn, grow, and thrive both at work and beyond, so you can go further.
More about Intel
Contact Us
2200 Mission College Blvd.
Santa Clara, CA 95054-1549
Phone: (408) 765-8080"
Intuit,INTU,https://www.intuit.com/,enterprise software,1983.0,Q1318848,"Products to Power Prosperity
Serving approximately 100 million customers worldwide with TurboTax, Credit Karma, QuickBooks, and Mailchimp, Intuit helps put more money in consumers’ and small businesses’ pockets, saving them time by eliminating work, and ensuring they have confidence in every financial decision they make."
Intuitive Surgical,ISRG,https://www.intuitive.com,,1995.0,Q2743863,KEIN_HAUPTINHALT_GEFUNDEN
Keurig Dr Pepper,KDP,https://www.drpeppersnapplegroup.com,beverage industry,2018.0,Q3116111,KEIN_HAUPTINHALT_GEFUNDEN
KLA Corporation,KLAC,https://www.kla.com/,electronics,1997.0,Q624649,"Advancing Humanity
The future is ours to create. Whether it’s a driverless car, VR experience, or factory robotics, we help turn theory into possibility. We help create technological devices and ideas that transform our future and shape our current life.
KLA is proud to be part of the most significant technological breakthroughs. Virtually no laptop, smartphone, wearable device, voice-controlled gadget, VR device or smart car would have made it into your hands without us.
We believe in the power of technology to make this world a brighter place. We are excited by all that humanity can achieve.
We Are
A global technology leader. We make an impact by creating solutions that drive progress and transform industries. Collaboration is the key to our success.
We Provide
Leading-edge technology and devices using advanced inspection tools, metrology systems, and computational analytics. Our solutions accelerate tomorrow’s electronic devices.
We Enable
The evolution and innovation in the data era across key industries including automotive, mobile and data center.
Business Snapshot
as of December 31, 2024
18
Regions
~15,000
Global Employees
$10.85B
CY2024 Revenue
$1.32B
CY2024 R&D
Why Join Us
Global Footprint
We are a multinational company with more than 15,000 employees and offices all around the world. We believe that innovation thrives in an environment built on communication, understanding, inclusive culture, skills and knowledge.
How We Do It
We inhabit two worlds: one that’s nanometers in scale and one that’s global. This micro and macro view gives us a unique perspective. We see electrons wave and industries transform. When you put deep science together with optimism, big things happen.
Expertise
Last year we invested 1.32B in R&D. That’s a measure of our commitment to solving the most daunting technical challenges. From our ground-breaking mask inspection tool in 1975 that signaled the dawn of semiconductor process control, to today’s broadband plasma technology that discovers defects at the speed of light, we like to arrive first.
Collaboration
Active collaboration multiplies agile thinking. We put this approach into practice at strategic, technical and operational levels with our partners. Working side-by-side both geographically and intellectually, we maximize discovery and solutions.
Operations
We have a proven ability to go from concept to global marketplace. We invent in-house, make strategic acquisitions and share technology across systems to diversify our perspectives and widen the range of our solutions. Comprehensive service programs keep it all optimized.
Company Highlights
KLA Announces September Quarter Earnings
Oct 29, 2025
The infographic below highlights KLA’s key financial information from the earnings report for the September quarter. To read the full...
KLA Announces June Quarter Earnings
Jul 31, 2025
The infographic below highlights KLA’s key financial information from the earnings report for the June quarter. To read the full..."
Kraft Heinz,KHC,http://www.kraftheinzcompany.com,food industry,2015.0,Q19681433,"The Kraft Heinz Company has an unparalleled portfolio of powerful and iconic brands.
MoreWe at Kraft Heinz are unrelenting in our quest to transform the food industry. Join us and bring your appetite for more. Find out what it takes to work here.
MoreThe Kraft Heinz Company is the third-largest food and beverage company in North America and the fifth-largest food and beverage company in the world, with eight $1 billion+ brands. A globally trusted producer of delicious foods, The Kraft Heinz Company provides high quality, great taste and nutrition for all eating occasions whether at home, in restaurants or on the go."
Lam Research,LRCX,https://www.lamresearch.com/,,1980.0,Q1342041,"Skip to content
About
About Us >
Mission, Guiding Principles, Core Values
Leadership
Ethics & Compliance
Our Brand
Company History
Lam Capital
Environmental, Social, and Governance >
ESG Strategy
Environmental Health & Safety
2050 Net Zero Strategy
Responsible Supply Chain
Our Communities
Sustainable Operations
Sustainable Product Innovation
Global Impact Report
Subsidiaries
Silfex
Locations >
Products
Products Overview >
Our Solutions >
Advanced Packaging
Aether®
Cryogenic Etching
Dextro™ Cobots
Metallization
Semiverse® Solutions
Our Processes >
Deposition
Etch
Strip & Clean
Mass Metrology
Panel Processing
Our Products >
Customer Support
Customer Support Overview >
Service
Spares
Upgrades
Reliant Systems
Technical Training >
Customer Portals
MyLam >
Coventor >
EsgeeTech >
Careers
Careers Overview >
Culture & Benefits >
Our Culture
Benefits
Career Development
Diversity
Our Communities
University Programs >
Internships
Graduate Programs
Recruiting Events
Global Opportunities >
India
Korea Technology Center
Japan
Lam Manufacturing Malaysia
Lam Manufacturing Taiwan
US Manufacturing
Careers Search >
Investors
Investors Overview >
Press Releases
Events & Presentations
Corporate Governance
Global Impact Report
Contact Investor Relations
Investor FAQs
Financials >
Quarterly Earnings
Annual Reports & Proxy Info
SEC Filings
IRS Form 8937
Stock Information >
Historical Stock Lookup
Dividend History
Analyst Coverage
Investor Resources >
Stockholder Services
Request Materials
Investor Alerts
Newsroom
Newsroom Home >
Newsroom
Press Releases
Media Center
Events
Blog
Media Contacts
Languages
USA (Eng)
Austria (Deutsch)
China (中文)
Japan (日本語)
Korea (한국어)
Taiwan (繁體中文)
Search
MyLam
Search
Company
circle-arrow2
circle-arrow2
facebook
google
handshake2
health2
linkedin
logo
menu
pdf
plant2
search
twitter
youtube
close
About
About Us
Company Overview
Mission, Guiding Principles, Core Values
Leadership
Ethics and Compliance
Our Brand
Company History
Lam Capital
Environmental, Social, and Governance
Overview
ESG Strategy
Environmental Health & Safety
2050 Net Zero Strategy
Responsible Supply Chain
Our Communities
Sustainable Operations
Sustainable Product Innovation
Global Impact Report
Subsidiaries
Silfex
Locations
Products
Overview
Our Solutions
Advanced Packaging
Aether
®
Cryogenic Etching
Dextro
™
Cobots
Metallization
Semiverse
®
Solutions
Our Processes
Deposition
Etch
Strip & Clean
Mass Metrology
Our Products
Customer Support
Customer Support Overview
Overview
Service
Spares
Upgrades
Reliant Systems
Technical Training
Customer Portals
MyLam
Coventor
EsgeeTech
Careers
Overview
Culture & Benefits
Our Culture
Benefits
Career Development
Diversity
Our Communities
University Programs
Internships
Graduate Programs
Recruiting Events
Global Opportunities
India
Korea Technology Center
Japan
Lam Manufacturing Malaysia
US Manufacturing
Careers Search
Investors
Investor Relations Overview
Overview
Press Releases
Events & Presentations
Corporate Governance
Global Impact Repor"
Linde plc,LIN,http://www.linde.com/,chemical industry,,Q682759,"Clean Energy
As large decarbonization projects start to gather pace, our expertise in hydrogen and CCUS, technological leadership and reach puts us in the front seat to win high-quality clean energy projects around the world."
Lululemon,LULU,https://shop.lululemon.com/,retail,1998.0,Q6702957,"Softness is its forte.
Kelsea tunes in and chills out effortlessly in the fleecy new Steady State Hoodie.
Softness is its forte.
Kelsea tunes in and chills out effortlessly in the fleecy new Steady State Hoodie.
Room for rhythm and flow.
When the beat drops, the Scuba Mid-Rise Wide-Leg Pant moves with every groove.
Gift Nulu™ stretch, for kicks.
Soft and weightless fabrics are a joy to flex—just ask the Radio City Rockettes®.
Paisley Lace steps into the spotlight.
Introducing the intricate, buttery-soft set taking centre stage this holiday season.
Get familiar, get inspired, and get moving."
Marriott International,MAR,https://www.marriott.com.cn/,hospitality industry,1993.0,Q1141173,KEIN_HAUPTINHALT_GEFUNDEN
Marvell Technology,MRVL,https://www.marvell.com/,semiconductor industry,1995.0,Q1347782,"Progress takes many forms. Sometimes, progress is the breakthrough solution that helps the world leap forward. Other times, progress is the result of unforeseen obstacles that make us pause and think about what we need to do differently in order to do things right. Focused and determined, we unite behind your goals as our own. As more of the world’s data flows through the cloud, we recognize that each cloud is unique and leverage our unrivaled portfolio of data infrastructure semiconductor technology to optimize the best solution for your needs. Whether on-premise or in the cloud, we sit shoulder-to-shoulder with your teams to build it. Agile in our thinking, and our partnerships, we look for unexpected connections that deliver a competitive edge and reveal new opportunities. At Marvell, we’re driven by the belief that how we do things matters just as much as what we do.
That’s why, at Marvell, we go all in with you. Because, with a foundation built on partnership, anything is possible.
Marvell tailors its technology to meet diverse compute requirements. With the industry’s most advanced and comprehensive accelerated infrastructure portfolio of compute, connectivity and storage, Marvell is powering the AI era.
Reliable results: we deliver what we promise; know what to expect so you can prioritize what’s next
Superior performance: we believe that dynamic perspectives create the smartest path; cross-functional collaboration leads to greater consistency and higher velocity
Nimble dexterity: we listen, learn and adapt; our thoroughness and flexibility cuts delays and quality issues
Rigorous execution: we work shoulder-to-shoulder to lead the charge; aligned teams work smarter to get the job done right every time
Copyright © 2025 Marvell, All rights reserved."
Mercado Libre,MELI,https://www.mercadolibre.com/,e-commerce,1997.0,Q950419,"MercadoLibre
Argentina
Bolivia
Brasil
Chile
Colombia
Costa Rica
Dominicana
Ecuador
Guatemala
Honduras
México
Nicaragua
Panamá
Paraguay
Perú
El Salvador
Uruguay
Venezuela"
Meta Platforms,META,https://www.meta.com/,information technology,2004.0,Q380,KEIN_HAUPTINHALT_GEFUNDEN
Microchip Technology,MCHP,https://www.microchip.com/,electronics,1989.0,Q1545076,KEIN_HAUPTINHALT_GEFUNDEN
Micron Technology,MU,https://www.micron.com/,,1978.0,Q1197548,"To access these documents, you must first read and accept Micron's electronic non-disclosure agreement. If the Recipient has a written confidentiality agreement with Micron Technology, Inc. you will need to click ""Accept"" at the bottom of this page, but the terms of the written confidentiality agreement will apply.
ON-LINE NONDISCLOSURE AGREEMENT THIS IS A LEGAL AGREEMENT BETWEEN YOU OR THE COMPANY YOU REPRESENT (EACH A ""RECIPENT"") AND MICRON TECHNOLOGY, INC. (""MTI"") STATING THE TERMS AND CONDITIONS THAT GOVERN THE CONFIDENTIALITY OF INFORMATION POSTED TO OR MADE AVAILABLE THROUGH THE MICRON WEBSITE. PLEASE CAREFULLY READ THIS NONDISCLOSURE AGREEMENT (""AGREEMENT"") BEFORE CLICKING ""ACCEPT"" AT THE BOTTOM OF THE PAGE. BY CLICKING ON""ACCEPT"", RECIPIENT IS AGREEING TO BE BOUND BY THE TERMS OF THIS AGREEMENT. IF RECIPIENT DOES NOT AGREE TO THE TERMS OF THIS AGREEMENT, PRESS ""DECLINE"" AND RECIPENT WILL BE UNABLE TO ACCESS CONFIDENTIAL INFORMATION.
1. Written Nondisclosure Agreement. If Recipient and MTI have entered into a written confidentiality agreement (""Confidentiality Agreement"") that is in effect as of the date Recipient enters into this Agreement and such Confidentiality Agreement already applies to and governs the Confidential Information (defined below), then the terms of such Confidentiality Agreement shall apply to and govern Recipient’s obligations concerning such Confidential Information and not the terms of this Agreement.
2. Confidential Information. ""Confidential Information"" means any information or data posted to or made available through MTI’s secure website that is (i) marked or labeled as ""Confidential"" or ""Proprietary"" or with similar designation, or (ii) of a nature that a reasonable person would know such information is confidential. Confidential Information does not include that which:
(i) is proven by Recipient through competent evidence to rightfully have already been in Recipient's possession at the time of disclosure without an obligation of confidentiality;
(ii) is or becomes available to the public through no fault or breach on the part of Recipient;
(iii) is independently developed by Recipient without use of or reference to the Confidential Information;
or (iv) is rightfully obtained from a third party who has the right to transfer or disclose it to Recipient without restriction.
3. Purpose of Disclosure and Restriction on Use. Confidential Information is disclosed hereunder strictly for the purpose of Recipient’s internal evaluation and/or to assist Recipient in the implementation of an MTI device or product into a commercial product (""Purpose""). Recipient shall use the Confidential Information solely in accordance with the terms of this Agreement to accomplish the Purpose and shall make no further use, in whole or in part, of the Confidential Information.
4. Non-Disclosure. Recipient agrees to protect the Confidential Information, using at least the same degree of care it uses to protect its own confidential and propr"
